sample1	sample2	rel	country_pair	region_pair	time_pair	distance	n_ibd	total_ibd
0LS10	NEO224	none	Estonia:Sweden	Europe:Europe	(2500,5000]:(2500,5000]	0.013045385582649522	1	10.920679596678596
0LS10	V10	none	Estonia:Estonia	Europe:Europe	(2500,5000]:(2500,5000]	0	1	10.967699871446356
0LS10	V14	none	Estonia:Estonia	Europe:Europe	(2500,5000]:(2500,5000]	0.001039999999999999	1	10.653168315751515
0LS10	VII4	none	Estonia:Estonia	Europe:Europe	(2500,5000]:(2500,5000]	6.806614430096651e-4	1	10.308058615527855
0LS10	X10	none	Estonia:Estonia	Europe:Europe	(2500,5000]:(2500,5000]	0.0010200490184299963	1	24.465755242920515
0LS11	V16	none	Estonia:Estonia	Europe:Europe	(2500,5000]:(2500,5000]	2.3021728866442711e-4	8	127.04192524475239
0LS11	V9	none	Estonia:Estonia	Europe:Europe	(2500,5000]:(2500,5000]	0	20	447.5690763209766
0LS11	X08	none	Estonia:Estonia	Europe:Europe	(2500,5000]:(2500,5000]	4.0607881008494117e-4	1	16.08064801482093
0LS11	X10	none	Estonia:Estonia	Europe:Europe	(2500,5000]:(2500,5000]	4.0607881008494117e-4	1	12.621623624000001
0LS11	X14	none	Estonia:Estonia	Europe:Europe	(2500,5000]:(2500,5000]	4.242640687119195e-5	8	169.76332329394353
0LS11	X17	none	Estonia:Estonia	Europe:Europe	(2500,5000]:(2500,5000]	2.3999999999999843e-4	1	19.557669150943397
12881A	VK538	none	UK:Italy	Europe:Europe	(0,2500]:(0,2500]	0.01851361661048429	1	14.961956002867906
12881A	VK553	none	UK:Estonia	Europe:Europe	(0,2500]:(0,2500]	0.02289482474272297	1	11.028990745837177
15569A	R1221	none	UK:Italy	Europe:Europe	(0,2500]:(0,2500]	0.016158267233834202	1	22.142472255367906
15569A	VK384	none	UK:Denmark	Europe:Europe	(0,2500]:(0,2500]	0.01078114094147739	1	18.007217162563677
15570A	VK289	none	UK:Denmark	Europe:Europe	(0,2500]:(0,2500]	0.010919523799140693	1	10.208683826526865
19651	Kennewick	none	Canada:USA	America:America	(7500,10000]:(7500,10000]	0.005729310604252482	1	19.643375815367907
523a_C	PS-34	none	USA:USA	America:America	(0,2500]:(0,2500]	0.038932521110249196	1	21.771958608756336
84001	VK354	none	Sweden:Sweden	Europe:Europe	(0,2500]:(0,2500]	0.0033815528977083876	1	14.365108478914308
84001	VK529	none	Sweden:Norway	Europe:Europe	(0,2500]:(0,2500]	0.00853846004850992	1	10.013835809102403
84005	VK14	none	Sweden:Russia	Europe:Europe	(0,2500]:(0,2500]	0.014584951148358364	1	10.859770385269115
84005	VK17	none	Sweden:Russia	Europe:Europe	(0,2500]:(0,2500]	0.014584951148358364	1	19.440761999999992
84005	VK487	none	Sweden:Estonia	Europe:Europe	(0,2500]:(0,2500]	0.00475640620637052	1	17.54363363174167
84005	VK51	none	Sweden:Sweden	Europe:Europe	(0,2500]:(0,2500]	0.002067292915868475	1	15.766414827411182
84005	VK551	none	Sweden:Estonia	Europe:Europe	(0,2500]:(0,2500]	0.00475640620637052	1	14.75857895973985
84005	kls001	none	Sweden:Sweden	Europe:Europe	(0,2500]:(0,2500]	0	1	20.852113230769234
890	894	none	Argentina:Argentina	America:America	(0,2500]:(0,2500]	0	21	268.2359366585031
890	895	none	Argentina:Argentina	America:America	(0,2500]:(0,2500]	0	13	221.94671033147088
