sampleId	popId	site	country	region	continent	groupLabel	groupAge	flag	latitude	longitude	dataSource	age14C	ageHigh	ageLow	ageAverage	datingSource	coverage	sex	hgMT	gpAvg	ageRaw	hgYMajor	hgYMinor
NA06984	CEU	NA	Europe	WesternEurope	Europe	CEU	Modern	0	NA	NA	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA
NA06985	CEU	NA	Europe	WesternEurope	Europe	CEU	Modern	0	NA	NA	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA
NA06986	CEU	NA	Europe	WesternEurope	Europe	CEU	Modern	0	NA	NA	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA
NA06989	CEU	NA	Europe	WesternEurope	Europe	CEU	Modern	0	NA	NA	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA
NA06994	CEU	NA	Europe	WesternEurope	Europe	CEU	Modern	0	NA	NA	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA
NA07000	CEU	NA	Europe	WesternEurope	Europe	CEU	Modern	0	NA	NA	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA
NA07037	CEU	NA	Europe	WesternEurope	Europe	CEU	Modern	0	NA	NA	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA
NA07048	CEU	NA	Europe	WesternEurope	Europe	CEU	Modern	0	NA	NA	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA
NA07051	CEU	NA	Europe	WesternEurope	Europe	CEU	Modern	0	NA	NA	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA
NA07056	CEU	NA	Europe	WesternEurope	Europe	CEU	Modern	0	NA	NA	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA
NA07347	CEU	NA	Europe	WesternEurope	Europe	CEU	Modern	0	NA	NA	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA
NA07357	CEU	NA	Europe	WesternEurope	Europe	CEU	Modern	0	NA	NA	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA
